X,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,pickup,dropoff,distance_miles,zipcode
49173512,58:35.0,12,2015-03-25 08:58:35 UTC,-73.96253204,40.76718903,-73.97445679,40.75386047,1,"40.7671890258789,-73.962532043457","40.7538604736328,-73.9744567871094",1.303636761,10065
25121708,12:00.0,7.7,2010-09-04 16:12:00 UTC,-73.9943,40.739512,-73.98807,40.724482,2,"40.739512,-73.9943","40.724482,-73.98807",1.623021554,10011
37339061,32:00.0,12.9,2010-05-12 22:32:00 UTC,-73.972987,40.76404,-74.00782,40.714993,5,"40.76404,-73.972987","40.714993,-74.00782",4.176857154,10022
38755863,55:00.0,5,2014-01-21 06:55:00 UTC,-73.957802,40.776372,-73.957422,40.78287,1,"40.776372,-73.957802","40.78287,-73.957422",0.612671996,10028
38703737,57:00.0,29,2014-02-13 17:57:00 UTC,-73.9926,40.753172,-73.908508,40.816192,1,"40.753172,-73.9926","40.816192,-73.908508",7.767139903,10018
51671648,42:00.0,15.7,2010-04-01 14:42:00 UTC,-73.97336,40.786952,-73.97281,40.743548,1,"40.786952,-73.97336","40.743548,-73.97281",5.397851547,10024
15145716,59:02.0,3.3,2012-07-12 00:59:02 UTC,-73.982371,40.765501,-73.985248,40.762808,1,"40.765501,-73.982371","40.762808,-73.985248",0.364123519,10019
38092793,12:25.0,11,2014-11-13 20:12:25 UTC,-73.958903,40.815239,-73.980862,40.78261,1,"40.815239,-73.958903","40.78261,-73.980862",3.516339577,10027
1239488,41:05.0,6.5,2010-03-05 22:41:05 UTC,-73.990305,40.756175,-74.003678,40.759173,1,"40.756175,-73.990305","40.759173,-74.003678",0.902852342,10018
48399259,52:03.0,9,2015-06-17 17:52:03 UTC,-73.97213745,40.74988937,-73.9818573,40.73242569,1,"40.7498893737793,-73.9721374511719","40.7324256896973,-73.9818572998047",1.609972759,10017
1347588,20:00.0,6.5,2011-06-22 06:20:00 UTC,-73.997925,40.749805,-74.003443,40.754337,2,"40.749805,-73.997925","40.754337,-74.003443",0.654925237,10001
22364180,21:00.0,20,2013-10-19 20:21:00 UTC,-73.977453,40.785215,-73.98595,40.734955,1,"40.785215,-73.977453","40.734955,-73.98595",5.671876243,10024
9404760,23:00.0,8.1,2010-10-16 21:23:00 UTC,-73.982543,40.731653,-73.954875,40.768787,5,"40.731653,-73.982543","40.768787,-73.954875",3.408220989,10003
37942404,51:00.0,30.9,2011-11-18 09:51:00 UTC,-73.995888,40.759078,-73.865005,40.770452,1,"40.759078,-73.995888","40.770452,-73.865005",10.61550545,10036
30977645,01:58.0,4.1,2011-02-20 21:01:58 UTC,-73.977633,40.753166,-73.981589,40.757359,1,"40.753166,-73.977633","40.757359,-73.981589",1.003514475,10017
20318457,29:00.0,3.7,2010-03-30 21:29:00 UTC,-73.984218,40.732007,-73.979443,40.727617,5,"40.732007,-73.984218","40.727617,-73.979443",0.513873976,10003
2111231,49:00.0,6.1,2012-07-19 17:49:00 UTC,-73.997893,40.735897,-74.006543,40.746245,5,"40.735897,-73.997893","40.746245,-74.006543",1.145808478,10011
10540899,06:41.0,6.1,2011-07-22 22:06:41 UTC,-73.9956,40.754782,-74.002493,40.734401,1,"40.754782,-73.9956","40.734401,-74.002493",1.76158733,10018
26009783,48:48.0,7.5,2014-11-10 05:48:48 UTC,-73.975132,40.73302,-73.977113,40.752058,1,"40.73302,-73.975132","40.752058,-73.977113",1.774636125,10010
30203807,28:00.0,10.5,2010-09-10 16:28:00 UTC,-73.995627,40.749295,-73.965087,40.77161,1,"40.749295,-73.995627","40.77161,-73.965087",2.817918357,10001
38938355,13:00.0,6.1,2010-11-24 18:13:00 UTC,-73.985523,40.760627,-73.989185,40.774452,1,"40.760627,-73.985523","40.774452,-73.989185",1.581389684,Unknown
42367206,15:52.0,15,2014-09-23 00:15:52 UTC,-73.994126,40.750917,-73.949428,40.781336,1,"40.750917,-73.994126","40.781336,-73.949428",5.064796588,10001
10381393,21:15.0,8,2015-02-10 15:21:15 UTC,-73.99436951,40.7466774,-73.97766876,40.73911667,1,"40.7466773986816,-73.9943695068359","40.7391166687012,-73.977668762207",1.448416249,10001
27114350,47:00.0,11.3,2009-12-01 11:47:00 UTC,-73.944435,40.778137,-73.980463,40.782295,3,"40.778137,-73.944435","40.782295,-73.980463",2.799898592,10128
38184582,54:02.0,15,2015-01-16 19:54:02 UTC,-74.00211334,40.75183868,-73.99172211,40.7264595,1,"40.751838684082,-74.0021133422852","40.7264595031738,-73.9917221069336",2.962076473,10001
17545146,16:45.0,8,2013-05-16 22:16:45 UTC,-73.995759,40.759149,-73.991388,40.750227,3,"40.759149,-73.995759","40.750227,-73.991388",1.012213672,10036
31785067,14:00.0,7.5,2014-03-25 20:14:00 UTC,-73.97287,40.76444,-73.98842,40.76914,1,"40.76444,-73.97287","40.76914,-73.98842",0.984251969,10022
29942923,21:49.0,4.5,2011-09-13 13:21:49 UTC,-73.995027,40.744631,-74.000213,40.7352,1,"40.744631,-73.995027","40.7352,-74.000213",1.181226636,10011
13293785,54:45.0,19.7,2012-05-13 13:54:45 UTC,-73.963411,40.798469,-74.000779,40.729345,1,"40.798469,-73.963411","40.729345,-74.000779",6.889142408,10025
39400897,14:00.0,6.5,2010-09-24 12:14:00 UTC,-73.972497,40.75278,-73.95885,40.763898,3,"40.75278,-73.972497","40.763898,-73.95885",1.330355723,10017
17076715,24:52.0,23,2012-11-14 21:24:52 UTC,-73.863088,40.769212,-73.95195,40.729382,1,"40.769212,-73.863088","40.729382,-73.95195",7.370705082,11371
20519721,21:00.0,8.5,2011-01-16 00:21:00 UTC,-73.959753,40.777137,-73.966547,40.804235,1,"40.777137,-73.959753","40.804235,-73.966547",2.628400143,10028
40845743,38:40.0,9.5,2013-09-21 18:38:40 UTC,-73.995559,40.695197,-73.974702,40.687741,1,"40.695197,-73.995559","40.687741,-73.974702",1.694479241,11201
17781331,07:37.0,17.5,2009-02-17 18:07:37 UTC,-73.97411,40.750564,-73.88238,40.755801,1,"40.750564,-73.97411","40.755801,-73.88238",6.948172672,10017
23083708,55:08.0,4.1,2009-05-11 19:55:08 UTC,-73.959091,40.799481,-73.967406,40.802026,1,"40.799481,-73.959091","40.802026,-73.967406",0.526922771,10025
16496513,37:09.0,15.7,2011-06-07 22:37:09 UTC,-73.9773,40.7519,-74.0125,40.7015,1,"40.7519,-73.9773","40.7015,-74.0125",5.213304303,10017
42307589,24:00.0,7,2014-08-20 22:24:00 UTC,-73.97203,40.75652,-73.98601,40.75225,2,"40.75652,-73.97203","40.75225,-73.98601",1.447173507,10022
41458016,05:43.0,6.5,2012-08-12 14:05:43 UTC,-73.999166,40.739403,-73.988351,40.743763,1,"40.739403,-73.999166","40.743763,-73.988351",1.20918834,10011
34207430,52:00.0,7.3,2010-03-31 06:52:00 UTC,-73.992758,40.737167,-73.970655,40.756222,5,"40.737167,-73.992758","40.756222,-73.970655",2.491698481,10011
47000984,28:28.0,10.5,2015-03-10 15:28:28 UTC,-73.98123932,40.75287628,-73.9952774,40.72617722,6,"40.7528762817383,-73.9812393188477","40.7261772155762,-73.9952774047852",2.215809672,10017
43519750,13:28.0,12,2014-09-18 11:13:28 UTC,-73.959571,40.76283,-73.975622,40.760601,1,"40.76283,-73.959571","40.760601,-73.975622",1.385657759,10065
49584701,15:00.0,17,2014-06-18 00:15:00 UTC,-73.984753,40.737152,-73.944553,40.700412,2,"40.737152,-73.984753","40.700412,-73.944553",4.453988706,10010
41620024,06:21.0,7.7,2010-02-14 14:06:21 UTC,-73.983361,40.761332,-73.972963,40.780317,1,"40.761332,-73.983361","40.780317,-73.972963",1.924386582,10019
29799869,39:22.0,5.5,2014-02-02 10:39:22 UTC,-73.982129,40.772748,-73.977427,40.784339,1,"40.772748,-73.982129","40.784339,-73.977427",0.862463215,10023
5347854,27:20.0,4.9,2012-03-20 18:27:20 UTC,-73.98611,40.74594,-73.991732,40.735342,1,"40.74594,-73.98611","40.735342,-73.991732",1.024641096,10016
17960153,13:10.0,6.1,2009-03-26 12:13:10 UTC,-73.983981,40.780489,-73.96794,40.797363,1,"40.780489,-73.983981","40.797363,-73.96794",2.034369283,10023
12199998,04:00.0,6.5,2009-04-05 10:04:00 UTC,-73.984693,40.759112,-73.994667,40.740517,2,"40.759112,-73.984693","40.740517,-73.994667",1.647255031,10036
3467825,33:00.0,7.3,2010-01-01 20:33:00 UTC,-73.988247,40.724833,-74.006518,40.738588,1,"40.724833,-73.988247","40.738588,-74.006518",1.6155651,10003
29569353,30:14.0,9.3,2009-08-14 17:30:14 UTC,-73.987011,40.776157,-73.994649,40.75044,1,"40.776157,-73.987011","40.75044,-73.994649",2.384822636,10023
15291924,25:36.0,6.5,2012-04-05 13:25:36 UTC,-73.970823,40.798273,-73.955982,40.787948,1,"40.798273,-73.970823","40.787948,-73.955982",1.440338424,10025
3286192,19:00.0,13.5,2013-06-18 16:19:00 UTC,-73.973317,40.750867,-73.991122,40.747067,1,"40.750867,-73.973317","40.747067,-73.991122",1.388764615,10017
26204531,15:30.0,34.25,2009-03-03 10:15:30 UTC,-73.862659,40.769994,-73.986561,40.74296,2,"40.769994,-73.862659","40.74296,-73.986561",9.154040404,11371
52641438,21:00.0,7.3,2009-06-02 07:21:00 UTC,-73.990793,40.750895,-73.974758,40.741923,5,"40.750895,-73.990793","40.741923,-73.974758",1.266975861,10001
14659149,40:00.0,8.9,2012-03-30 17:40:00 UTC,-73.988975,40.748182,-74.00151,40.724912,2,"40.748182,-73.988975","40.724912,-74.00151",2.214566929,10001
39648057,38:13.0,19.3,2011-05-20 00:38:13 UTC,-73.995176,40.750516,-73.971411,40.680955,1,"40.750516,-73.995176","40.680955,-73.971411",6.355384554,10001
51344425,58:00.0,6.5,2014-08-04 17:58:00 UTC,-73.987447,40.733067,-74.002172,40.740632,1,"40.733067,-73.987447","40.740632,-74.002172",1.07372942,10003
